Speed,Feed,DOC,NOP,Ra
45,0.16,0.058,1,0.12
45,0.195,0.062,2,0.05
45,0.23,0.066,3,0.022
45,0.265,0.07,4,0.061
75,0.16,0.062,3,0.023
75,0.195,0.058,4,0.23
75,0.23,0.07,1,0.057
75,0.265,0.066,2,0.135
90,0.16,0.066,4,0.095
90,0.195,0.07,3,0.041
90,0.23,0.058,2,0.137
90,0.265,0.062,1,0.032
150,0.16,0.07,2,0.058
150,0.195,0.066,1,0.099
150,0.23,0.062,4,0.056
150,0.265,0.058,3,0.108
76,0.4,0.01,1,0.255
76,0.5,0.015,2,0.31
76,0.6,0.02,3,0.44
76,0.7,0.025,4,0.55
76,0.8,0.03,5,0.69
105,0.4,0.015,3,0.32
105,0.5,0.02,4,0.45
105,0.6,0.025,5,0.52
105,0.7,0.03,1,0.64
105,0.8,0.01,2,0.282
285,0.4,0.02,5,0.41
285,0.5,0.025,1,0.51
285,0.6,0.03,2,0.61
285,0.7,0.01,3,0.3
285,0.8,0.015,4,0.35
460,0.4,0.025,2,0.53
460,0.5,0.03,3,0.68
460,0.6,0.01,4,0.245
460,0.7,0.015,5,0.34
460,0.8,0.02,1,0.43
725,0.4,0.03,4,0.62
725,0.5,0.01,5,0.28
725,0.6,0.015,1,0.37
725,0.7,0.02,2,0.46
725,0.8,0.025,3,0.56
1100,0.07,0.2,2,0.45
1200,0.06,0.3,1,0.323
1200,0.08,0.3,3,0.704
1200,0.06,0.3,3,0.391
1300,0.05,0.4,4,0.49
1100,0.07,0.2,2,0.545
1300,0.07,0.2,2,0.359
1300,0.07,0.2,4,0.345
1200,0.06,0.3,3,0.39
1100,0.05,0.2,2,0.25
1300,0.07,0.4,4,0.429
1200,0.04,0.3,3,0.478
1200,0.06,0.5,3,0.49
1100,0.07,0.4,4,0.512
1200,0.06,0.3,3,0.362
1300,0.05,0.2,2,0.231
1100,0.07,0.2,4,0.515
1100,0.05,0.4,4,0.349
1200,0.06,0.3,3,0.454
1200,0.06,0.1,3,0.212
1300,0.05,0.2,4,0.394
450,0.06,0.2,,0.283
350,0.09,0.1,,0.51
450,0.09,0.15,,0.514
450,0.09,0.15,,0.51
450,0.09,0.15,,0.511
550,0.06,0.15,,0.291
550,0.09,0.2,,0.505
450,0.09,0.15,,0.504
350,0.09,0.2,,0.53
450,0.12,0.2,,0.73
450,0.06,0.1,,0.258
350,0.06,0.15,,0.321
550,0.12,0.15,,0.854
550,0.09,0.1,,0.551
350,0.12,0.15,,0.768
450,0.12,0.1,,0.792
450,0.09,0.15,,0.505
,0.15,0.15,1,0.403
,0.3,0.15,1,0.432
,0.45,0.15,1,0.448
,0.15,0.3,1,0.683
,0.3,0.3,1,0.693
,0.45,0.3,1,0.726
,0.15,0.45,1,0.864
,0.3,0.45,1,0.912
,0.45,0.45,1,0.963
,0.15,0.15,2,0.57
,0.3,0.15,2,0.603
,0.45,0.15,2,0.634
,0.15,0.3,2,0.838
,0.3,0.3,2,0.854
,0.45,0.3,2,0.861
,0.15,0.45,2,1.1
,0.3,0.45,2,1.14
,0.45,0.45,2,1.3
320,0.1,0.1,,2.26
320,0.2,0.15,,1.13
320,0.3,0.2,,1.03
470,0.1,0.1,,0.75
470,0.2,0.15,,0.64
470,0.3,0.2,,0.89
540,0.2,0.1,,0.56
540,0.3,0.15,,0.5
540,0.1,0.2,,0.34
320,0.3,0.1,,2.29
320,0.1,0.15,,1.84
320,0.2,0.2,,2.72
470,0.2,0.1,,2.84
470,0.3,0.15,,2.84
470,0.1,0.2,,3.56
540,0.3,0.1,,3.43
540,0.1,0.15,,3.03
540,0.2,0.2,,1.93
225,0.063,,,0.67
225,0.095,,,0.92
225,0.111,,,1.09
225,0.063,,,0.1
225,0.095,,,0.11
225,0.111,,,0.17
225,0.063,,,0.67
225,0.095,,,0.92
225,0.111,,,1.09
355,0.063,,,1.91
355,0.095,,,1.08
355,0.111,,,0.77
355,0.063,,,0.43
355,0.095,,,0.38
355,0.111,,,0.23
355,0.063,,,1.91
355,0.095,,,1.08
355,0.111,,,0.77
535,0.063,,,0.75
535,0.095,,,0.33
535,0.111,,,0.57
535,0.063,,,0.33
535,0.095,,,0.34
535,0.111,,,0.19
535,0.063,,,0.75
535,0.095,,,0.33
535,0.111,,,0.57
75,0.065,1,1,0.911
75,0.078,1.75,2,1.042
75,0.092,2.5,3,1.48
75,0.102,3.25,4,1.05
75,0.127,4,5,0.43
270,0.065,1.75,3,1.259
270,0.078,2.5,4,0.585
270,0.092,3.25,5,0.477
270,0.102,4,1,1.33
270,0.127,1,2,2.226
400,0.065,2.5,5,0.429
400,0.078,3.25,1,0.711
400,0.092,4,2,0.569
400,0.102,1,3,0.87
400,0.127,1.75,4,0.534
620,0.065,3.25,2,0.561
620,0.078,4,3,0.743
620,0.092,1,4,0.956
620,0.102,1.75,5,0.49
620,0.127,2.5,1,0.966
980,0.065,4,4,0.445
980,0.078,1,5,0.72
980,0.092,1.75,1,0.731
980,0.102,2.5,2,0.697
980,0.127,3.25,3,0.641
